pos	campo	tipo	nulos	ceros
62	cpagodeservicios	integer	0	4705889
63	mpagodeservicios	numeric	0	4705954
64	cpagomiscuentas	integer	0	2597542
65	mpagomiscuentas	numeric	0	2597599
66	ccajeros_propios_descuentos	integer	0	4710540
67	mcajeros_propios_descuentos	numeric	0	4734145
68	ctarjeta_visa_descuentos	integer	0	4598766
69	mtarjeta_visa_descuentos	numeric	82760	4613506
70	ctarjeta_master_descuentos	integer	0	4735298
71	mtarjeta_master_descuentos	numeric	75037	4750675
72	ccomisiones_mantenimiento	integer	0	3329323
73	mcomisiones_mantenimiento	numeric	0	3344789
74	ccomisiones_otras	integer	0	542185
75	mcomisiones_otras	numeric	0	542362
76	cforex	integer	0	4113187
77	cforex_buy	integer	0	4769259
78	mforex_buy	numeric	0	4769259
79	cforex_sell	integer	0	4201354
80	mforex_sell	numeric	0	4201354
81	ctransferencias_recibidas	integer	0	1911998
82	mtransferencias_recibidas	numeric	0	1911998
83	ctransferencias_emitidas	integer	0	2366804
84	mtransferencias_emitidas	numeric	0	2371088
85	cextraccion_autoservicio	integer	0	2445422
86	mextraccion_autoservicio	numeric	0	2445422
87	ccheques_depositados	integer	0	4668755
88	mcheques_depositados	numeric	0	4668755
89	ccheques_emitidos	integer	0	4728734
90	mcheques_emitidos	numeric	0	4728734
91	ccheques_depositados_rechazados	integer	0	4867615
92	mcheques_depositados_rechazados	numeric	0	4867615
93	ccheques_emitidos_rechazados	integer	0	4870036
94	mcheques_emitidos_rechazados	numeric	0	4870036
95	tcallcenter	integer	0	4288844
96	ccallcenter_transacciones	integer	0	4288844
97	thomebanking	integer	0	1308446
98	chomebanking_transacciones	integer	0	1359085
99	ccajas_transacciones	integer	0	4050849
100	ccajas_consultas	integer	0	4546138
101	ccajas_depositos	integer	0	4591613
102	ccajas_extracciones	integer	0	4354000
103	ccajas_otras	integer	0	4745906
104	catm_trx	integer	0	2847981
105	matm	numeric	0	2847981
106	catm_trx_other	integer	0	3705468
107	matm_other	numeric	0	3705468
108	ctrx_quarter	integer	0	45517
109	tmobile_app	integer	758115	2874094
110	cmobile_app_trx	integer	758115	1524869
111	Master_delinquency	integer	537331	4323575
112	Master_status	integer	537331	4327271
113	Master_mfinanciacion_limite	numeric	537331	5926
114	Master_Fvencimiento	integer	537331	0
115	Master_Finiciomora	integer	4860906	24
116	Master_msaldototal	numeric	537331	2361572
117	Master_msaldopesos	numeric	537331	2375550
118	Master_msaldodolares	numeric	537331	4137014
119	Master_mconsumospesos	numeric	2922295	571069
120	Master_mconsumosdolares	numeric	2922295	1775315
121	Master_mlimitecompra	numeric	537331	0
122	Master_madelantopesos	numeric	2922295	1948951
123	Master_madelantodolares	numeric	2922295	1960454
124	Master_fultimo_cierre	integer	540253	302994
125	Master_mpagado	numeric	537331	4058334
126	Master_mpagospesos	numeric	2922295	183815
127	Master_mpagosdolares	numeric	2922295	1826963
128	Master_fechaalta	integer	537331	0
129	Master_mconsumototal	numeric	2922295	571069
130	Master_cconsumos	integer	2922295	571048
131	Master_cadelantosefectivo	integer	2922295	1948951
132	Master_mpagominimo	numeric	537331	2638771
133	Visa_delinquency	integer	204831	4610492
134	Visa_status	integer	204831	4656015
135	Visa_mfinanciacion_limite	numeric	204831	7223
136	Visa_Fvencimiento	integer	204831	0
137	Visa_Finiciomora	integer	4815323	34651
138	Visa_msaldototal	numeric	204831	459251
139	Visa_msaldopesos	numeric	204831	463335
140	Visa_msaldodolares	numeric	204831	3915373
141	Visa_mconsumospesos	numeric	658106	368456
142	Visa_mconsumosdolares	numeric	658106	2456164
143	Visa_mlimitecompra	numeric	204831	0
144	Visa_madelantopesos	numeric	658106	4203226
145	Visa_madelantodolares	numeric	658106	4223490
146	Visa_fultimo_cierre	integer	206734	306765
147	Visa_mpagado	numeric	204831	3915607
148	Visa_mpagospesos	numeric	658106	139081
149	Visa_mpagosdolares	numeric	658106	3708325
150	Visa_fechaalta	integer	204831	0
151	Visa_mconsumototal	numeric	658106	368456
152	Visa_cconsumos	integer	658106	368284
153	Visa_cadelantosefectivo	integer	658106	4203226
154	Visa_mpagominimo	numeric	204831	732256
155	clase_ternaria	character	0	0
