pos	campo	tipo	nulos	ceros
61	mttarjeta_master_debitos_automaticos	numeric	0	4074584
62	cpagodeservicios	integer	0	4705889
63	mpagodeservicios	numeric	0	4705954
64	cpagomiscuentas	integer	0	2597542
65	mpagomiscuentas	numeric	0	2597599
66	ccajeros_propios_descuentos	integer	136010	4574530
67	mcajeros_propios_descuentos	numeric	136010	4598135
68	ctarjeta_visa_descuentos	integer	136010	4462756
69	mtarjeta_visa_descuentos	numeric	218770	4477496
70	ctarjeta_master_descuentos	integer	136010	4599288
71	mtarjeta_master_descuentos	numeric	211047	4614665
72	ccomisiones_mantenimiento	integer	0	3329323
73	mcomisiones_mantenimiento	numeric	0	3344789
74	ccomisiones_otras	integer	416314	125871
75	mcomisiones_otras	numeric	416314	126048
76	cforex	integer	0	4113187
77	cforex_buy	integer	0	4769259
78	mforex_buy	numeric	0	4769259
79	cforex_sell	integer	0	4201354
80	mforex_sell	numeric	0	4201354
81	ctransferencias_recibidas	integer	629381	1283250
82	mtransferencias_recibidas	numeric	629381	1283250
83	ctransferencias_emitidas	integer	0	2366804
84	mtransferencias_emitidas	numeric	0	2371088
85	cextraccion_autoservicio	integer	153102	2292320
86	mextraccion_autoservicio	numeric	153102	2292320
87	ccheques_depositados	integer	153102	4515653
88	mcheques_depositados	numeric	153102	4515653
89	ccheques_emitidos	integer	153102	4575632
90	mcheques_emitidos	numeric	153102	4575632
91	ccheques_depositados_rechazados	integer	153102	4714513
92	mcheques_depositados_rechazados	numeric	153102	4714513
93	ccheques_emitidos_rechazados	integer	153102	4716934
94	mcheques_emitidos_rechazados	numeric	153102	4716934
95	tcallcenter	integer	153102	4135742
96	ccallcenter_transacciones	integer	153102	4135742
97	thomebanking	integer	153102	1155344
98	chomebanking_transacciones	integer	289112	1069973
99	ccajas_transacciones	integer	153102	3897747
100	ccajas_consultas	integer	153102	4393036
101	ccajas_depositos	integer	153102	4438511
102	ccajas_extracciones	integer	153102	4200898
103	ccajas_otras	integer	153102	4592804
104	catm_trx	integer	153102	2694879
105	matm	numeric	153102	2694879
106	catm_trx_other	integer	153102	3552366
107	matm_other	numeric	153102	3552366
108	ctrx_quarter	integer	153102	43043
109	cmobile_app_trx	integer	911217	1371767
110	Master_delinquency	integer	537331	4323575
111	Master_status	integer	537331	4327271
112	Master_mfinanciacion_limite	numeric	537331	5926
113	Master_Fvencimiento	integer	537331	0
114	Master_Finiciomora	integer	4860906	24
115	Master_msaldototal	numeric	537331	2361572
116	Master_msaldopesos	numeric	537331	2375550
117	Master_msaldodolares	numeric	537331	4137014
118	Master_mconsumospesos	numeric	2922295	571069
119	Master_mconsumosdolares	numeric	2922295	1775315
120	Master_mlimitecompra	numeric	537331	0
121	Master_madelantopesos	numeric	2922295	1948951
122	Master_madelantodolares	numeric	2922295	1960454
123	Master_fultimo_cierre	integer	540253	302994
124	Master_mpagado	numeric	537331	4058334
125	Master_mpagospesos	numeric	2922295	183815
126	Master_mpagosdolares	numeric	2922295	1826963
127	Master_fechaalta	integer	537331	0
128	Master_mconsumototal	numeric	2922295	571069
129	Master_cconsumos	integer	2922295	571048
130	Master_cadelantosefectivo	integer	2922295	1948951
131	Master_mpagominimo	numeric	537331	2638771
132	Visa_delinquency	integer	204831	4610492
133	Visa_status	integer	204831	4656015
134	Visa_mfinanciacion_limite	numeric	326655	6771
135	Visa_Fvencimiento	integer	204831	0
136	Visa_Finiciomora	integer	4815323	34651
137	Visa_msaldototal	numeric	204831	459251
138	Visa_msaldopesos	numeric	204831	463335
139	Visa_msaldodolares	numeric	204831	3915373
140	Visa_mconsumospesos	numeric	658106	368456
141	Visa_mconsumosdolares	numeric	658106	2456164
142	Visa_mlimitecompra	numeric	204831	0
143	Visa_madelantopesos	numeric	658106	4203226
144	Visa_madelantodolares	numeric	658106	4223490
145	Visa_fultimo_cierre	integer	206734	306765
146	Visa_mpagado	numeric	204831	3915607
147	Visa_mpagospesos	numeric	658106	139081
148	Visa_mpagosdolares	numeric	658106	3708325
149	Visa_fechaalta	integer	204831	0
150	Visa_mconsumototal	numeric	658106	368456
151	Visa_cconsumos	integer	658106	368284
152	Visa_cadelantosefectivo	integer	658106	4203226
153	Visa_mpagominimo	numeric	204831	732256
154	clase_ternaria	character	0	0
